year,area_km2,n_images,source,ndsi_threshold,provenance
2000,2.337930,6,Hakkari_Glacier_GEE.ipynb,0.20,executed_output_cell_14
2001,2.657562,5,Hakkari_Glacier_GEE.ipynb,0.20,executed_output_cell_14
2002,3.265997,1,Hakkari_Glacier_GEE.ipynb,0.20,executed_output_cell_14
2003,2.118741,1,Hakkari_Glacier_GEE.ipynb,0.20,executed_output_cell_14
2004,2.633097,5,Hakkari_Glacier_GEE.ipynb,0.20,executed_output_cell_14
2005,2.477688,6,Hakkari_Glacier_GEE.ipynb,0.20,executed_output_cell_14
2006,2.511771,6,Hakkari_Glacier_GEE.ipynb,0.20,executed_output_cell_14
2007,2.248814,7,Hakkari_Glacier_GEE.ipynb,0.20,executed_output_cell_14
2008,1.920600,3,Hakkari_Glacier_GEE.ipynb,0.20,executed_output_cell_14
2009,2.224905,5,Hakkari_Glacier_GEE.ipynb,0.20,executed_output_cell_14
2010,2.799634,4,Hakkari_Glacier_GEE.ipynb,0.20,executed_output_cell_14
2011,2.107327,5,Hakkari_Glacier_GEE.ipynb,0.20,executed_output_cell_14
2013,2.367381,7,Hakkari_Glacier_GEE.ipynb,0.20,executed_output_cell_14
2014,1.868592,8,Hakkari_Glacier_GEE.ipynb,0.20,executed_output_cell_14
2015,1.919289,6,Hakkari_Glacier_GEE.ipynb,0.20,executed_output_cell_14
2016,2.255504,8,Hakkari_Glacier_GEE.ipynb,0.20,executed_output_cell_14
2017,2.040055,7,Hakkari_Glacier_GEE.ipynb,0.20,executed_output_cell_14
2018,1.923637,7,Hakkari_Glacier_GEE.ipynb,0.20,executed_output_cell_14
2019,2.541974,8,Hakkari_Glacier_GEE.ipynb,0.20,executed_output_cell_14
2020,2.165940,8,Hakkari_Glacier_GEE.ipynb,0.20,executed_output_cell_14
2021,1.670412,7,Hakkari_Glacier_GEE.ipynb,0.20,executed_output_cell_14
2022,1.632125,8,Hakkari_Glacier_GEE.ipynb,0.20,executed_output_cell_14
2023,1.737228,6,Hakkari_Glacier_GEE.ipynb,0.20,executed_output_cell_14
2024,2.217294,7,Hakkari_Glacier_GEE.ipynb,0.20,executed_output_cell_14
