year,temperature_C,precipitation_mm,snowfall_mm,snow_cover_days,mean_snow_depth_m,snowmelt_mm,cpdd_C_days
1950,3.7572002444767127,910.148708872115,643.1591102873016,164,0.18220553523672342,748.4905394277088,2306.00520323
1951,3.927713519769863,777.95568142316,485.466358474707,165,0.08312738717849025,428.0848686163174,2320.771505149
1952,4.467681480303279,742.810409078635,582.024383654353,169,0.16564365359109262,738.3441928843293,2486.94443257
1953,3.2633562537479452,1007.02933273626,786.042221791674,178,0.1472200114430526,656.1493398423296,2346.11486319
1954,4.0383059855753425,1070.88774380148,887.426790388856,195,0.2825020091492487,1057.4924582452202,2326.8532649
1955,4.857660260013699,739.11892095241,505.2468248678256,168,0.08813567049090246,394.9511330097573,2521.27276919
1956,2.913554193032787,998.476776863131,833.878734759121,208,0.2515498998427209,905.486812313167,2133.291687833
1957,3.6802729414465754,951.381568668255,561.9263350378062,183,0.1778266432131831,756.5785130082746,2272.722048
1958,4.319498879643835,777.039375507812,467.736667638519,160,0.10768480874462821,525.0049249880954,2332.3934264600002
1959,3.3604389907945205,720.73179451239,414.7100721403926,167,0.09396024171473079,499.351044596991,2259.21269998
1960,4.279928510259563,803.433194332765,551.324239823927,176,0.12146362171181323,577.7295782546017,2317.71666728
1961,4.000322567616438,849.21006368271,639.541549353659,172,0.10967317283182691,481.6982158808192,2429.95631689
1962,5.013389568027398,757.867522389502,556.4311201438892,164,0.16013389867863065,630.5069812198515,2483.829297662
1963,3.9940675847506846,1359.92917835602,851.815075173466,195,0.27181466840093815,1056.919961564384,2187.458461874
1964,3.3807921878300546,977.2480972863721,845.481939229559,195,0.18294362069296294,790.3315286214252,2360.98430917
1965,3.524052369591781,1119.851774061285,802.689184201215,206,0.22280267604717743,886.927450586924,2230.203228687
1966,5.301178635767124,866.50578983101,545.4250616297616,169,0.15726320193775675,663.9240039396461,2485.218638325
1967,2.7880373340547946,1327.516387623091,1012.8192794754522,207,0.2530743153245424,992.7364434316374,2091.28691362
1968,3.590145818491803,1314.03635108846,913.0428751577916,183,0.24107462788976766,903.147747580535,2175.256553808
1969,3.603703080687671,1236.92424371165,921.3427294893656,204,0.28701886121591436,1172.1101499700037,2140.006806631
1970,4.383723536901369,718.341936648565,451.63395390345,161,0.09933748176877606,499.9389660370399,2355.327518219
1971,3.4418486550739726,1087.714031988085,833.157591255939,187,0.14804946544670322,696.2707146536086,2192.64660084
1972,2.3926362083333332,1033.9038227986,545.1433452920726,205,0.19954460556055767,795.1895332168126,2100.13796698
1973,3.23608296060274,841.65908719173,633.89598820546,204,0.1572105234109827,684.3317333334466,2241.03188247
1974,3.0869415304931507,922.656215478911,619.718888699205,181,0.1354893029477848,670.807870186737,2189.98751649
1975,3.4737401206849317,925.502823097925,640.4566759170233,179,0.12823965126656603,597.1828151247726,2301.46724863
1976,3.1704418518469946,1024.248186289055,644.8119752602122,186,0.20938835960105037,764.8849883834966,2160.5630101799998
1977,3.717514564673973,1037.95235989583,701.431707504185,184,0.1464659075710674,721.554844664833,2229.11912623
1978,3.8436340437260275,1063.783209553025,814.079502925754,198,0.22453931000729901,836.0883713945802,2250.90156984
1979,4.5220615348,1018.003136874105,582.46857285414,168,0.16759321656135787,675.1278797876786,2350.627057862
1980,3.9285790387978143,987.19879204418,558.997173102421,180,0.14346255838448418,673.7370424167689,2376.2041736
1981,3.6302955025095893,1116.48693542172,798.053957759131,205,0.1865187236943696,725.8141138157283,2186.501932186
1982,2.4592137963972602,901.5336823604,582.0951725659306,194,0.19963011294952576,782.1303334130421,2140.7046861549998
1983,3.2078217198414523,949.1052181721,608.120037015011,187,0.14920646872845986,660.6307228263333,2220.993936286
1984,3.215351376054645,854.53362879067,523.2156180542346,207,0.11272746829375695,620.4066096058026,2213.73830248
1985,3.682488858421918,943.13409280209,623.806473307954,165,0.12946720273219248,642.816354907503,2335.13719709
1986,3.6800764089671234,1170.232169878396,687.193577935359,181,0.13701506233653613,543.5861544792966,2292.455020613
1987,3.6360879274684934,1267.7646082566,1021.6575212811476,219,0.28547035497062395,991.5065290543823,2155.61837782
1988,3.2959843717759565,1289.92837165981,841.5732659140356,208,0.31636884354292133,1086.1111740777212,2168.38832279
1989,3.868989334082192,777.8875832158,381.0496353535252,164,0.10220135599473887,405.696971814689,2421.68682572
1990,3.9769926398356166,894.808619197625,557.407158506116,179,0.17748146638203133,786.6295152948984,2345.740963323
1991,3.8491956565041097,1013.05418306566,639.1757180780704,159,0.09665639964704055,522.0553478733648,2326.754379539
1992,1.8224577183469945,1367.011214034375,1036.9287720073462,210,0.27001593186928324,842.6230312844389,1989.437444375
1993,3.1395002552876714,1126.18250433267,727.006926631332,213,0.3269397500994118,1068.072376884788,2165.912051496
1994,3.983329737410959,1197.882642455577,754.2065564120986,184,0.16399849989136756,626.399906993048,2334.150834425
1995,3.5368310061753427,879.10260320647,457.536681465673,199,0.2152366523617398,813.348865305999,2183.157894534
1996,4.179802772636612,981.54312817535,686.6322188358,171,0.12718929193284512,611.1591429200386,2275.007492318
1997,3.009945459835617,845.81331607741,587.3495656952746,172,0.1749376990341252,766.2736187859666,2164.02939386
1998,4.817957483643836,758.380525932532,441.0650080219472,133,0.09111465008846337,544.6060209367637,2560.14060151
1999,4.446086434638356,696.307697768481,429.981766382226,159,0.06698119108947191,401.007340186551,2414.672665783
2000,4.066382373754098,817.42485915459,599.0248938550566,171,0.12806156414375108,586.3638327470593,2446.05385612
2001,4.845432776739726,908.553817722136,547.742554417963,158,0.0869491851077331,441.2650075189706,2486.00400863
2002,4.150517288021917,1033.4412977552,696.5507226598178,173,0.21919902346146294,873.8857112827607,2333.525187613
2003,3.970351747780822,1337.6388933471,908.5549563462315,206,0.21165533643511317,928.4603053562851,2363.55068123
2004,3.9930320011748637,928.85993900477,572.235210918314,185,0.18730695430226918,698.840700869777,2368.48323855
2005,4.202685025287671,952.31787398304,666.4367713130296,179,0.14551256684133357,731.3821186162666,2364.35827769
2006,4.448508750013699,1091.406456170765,696.802108167671,156,0.1755061105544486,814.824907039975,2503.04624758
2007,3.749262675780822,981.09369551285,695.919552330451,194,0.1473696003047264,688.2434280827847,2378.127480185
2008,4.155126300659836,734.113462620632,520.2005261756645,155,0.11081579599371087,533.8925255906713,2517.76989684
2009,3.690864839223014,997.95005468159,647.206912655484,194,0.156855340372746,721.242770411104,2170.6330949014
2010,6.0578057216293155,902.35771791508,482.3976792993686,147,0.13022932715754085,607.5824287062471,2696.697501258
2011,3.350126282219178,1020.46854895528,680.4887726285716,199,0.14028311415723507,689.3129509358865,2292.39108574
2012,4.153237379836066,999.481023619915,692.21060781932,168,0.15238209928144475,692.0237165263476,2493.55018635
2013,4.254532784284931,1106.08470810538,770.19085843518,175,0.21642169063225697,844.2693093448512,2321.408749034
2014,4.742641071353424,778.733794998292,462.572570620721,178,0.10561885161248703,555.3235194483166,2462.96853951
2015,4.7803257681013696,996.392002972151,640.653790626152,188,0.1390594294466437,671.7570313071296,2570.316351547
2016,4.619170020918033,1156.943951868031,789.4211073860843,164,0.18121373384737094,751.9301832973903,2478.785557206
2017,4.872011200610959,847.792027709264,447.469774704136,170,0.1373509349318291,567.986298898556,2633.97797836
2018,5.824704983591781,1251.25577265957,576.1334755649606,150,0.09811111132418596,528.806663777114,2635.249333171
2019,4.987146137000548,1032.942967279717,837.286281839308,190,0.26050801009262414,1051.6436731323986,2564.3636861640002
2020,4.769111101504098,904.40892345171,518.42739363696,170,0.1181563403797004,639.8000320230963,2526.2789410305
2021,5.756398917112329,779.40596344862,537.391880786936,155,0.1031217569522118,532.1948173896367,2760.040814087
2022,5.303593706821918,832.51467145061,563.375342808911,172,0.13984492062762433,654.4055470341215,2715.98201459
2023,5.431321724679452,1012.97818073164,509.4699023320566,159,0.06853434598507646,392.8997494005898,2639.154743554
2024,5.240014114060109,1050.7832247066501,657.3193152076645,170,0.18458904947160984,825.4214953464164,2628.061935796
2025,5.327603154076712,814.10297179505,426.221548877314,164,0.06608333009033764,353.569439383655,2798.928743238
