year,spei12_mean,drought_months_spei12
1950,-0.0750504377095408,0
1951,-1.5356762115834772,11
1952,-0.2409609581620172,2
1953,-0.577440150038791,1
1954,0.5901334316264686,0
1955,-2.9139408439382763,11
1956,0.19441390579930662,0
1957,0.15023294965960335,0
1958,-0.397536354272344,1
1959,-0.7563273285279051,4
1960,-0.6181742910427107,0
1961,-1.5444331941562763,10
1962,-0.7578912094816329,2
1963,0.7290910642150362,0
1964,0.3637600352625756,0
1965,0.12582370019760725,0
1966,0.25054336066599303,0
1967,0.5708685192498686,0
1968,0.7584295015855615,0
1969,0.92425922750386,0
1970,-0.4196070615953793,1
1971,-0.42733459686280356,2
1972,0.605248959179412,0
1973,0.1719856569155044,0
1974,-0.08182705862751354,0
1975,-0.15790217247790347,0
1976,0.3568834548015949,0
1977,0.13721214067959445,0
1978,0.5032637774888212,0
1979,0.09418319394730068,0
1980,0.3447966124879998,0
1981,0.3719992199169834,0
1982,0.3564288142401642,0
1983,0.013468352747055623,0
1984,-0.09368756031259184,0
1985,0.1672740155648491,0
1986,0.012021584015417947,0
1987,0.7093353236384089,0
1988,0.9645405325550228,0
1989,-0.6671262590722739,6
1990,0.2434987955066181,0
1991,-0.02523881371715107,0
1992,0.6355220145917543,0
1993,0.8911004797071951,0
1994,0.38121541336322623,0
1995,0.5078459503153406,0
1996,-0.10777237713967035,0
1997,0.12190921882867684,0
1998,-0.3837059666741646,1
1999,-2.7886940533207785,11
2000,-0.8505589697348568,2
2001,-1.1632605621615546,4
2002,0.38206820402883274,0
2003,0.5848702717624081,0
2004,0.5479191326402236,0
2005,-0.0936682694610005,0
2006,0.38137525109107023,0
2007,0.21040445096815563,0
2008,-1.1763075669274774,9
2009,-0.5751835330300678,2
2010,0.36114175717861263,0
2011,-0.05231552810319166,0
2012,-0.01277744701829193,0
2013,0.538376593964532,0
2014,-0.6761764128091389,1
2015,-0.07352564075960542,0
2016,0.4402156156774282,0
2017,-0.1433961888150598,0
2018,0.07752267145090351,0
2019,0.8147844789054415,0
2020,-0.10459539504644055,0
2021,-0.9887675153672578,8
2022,-0.9855882961648788,3
2023,-1.27878919168803,8
2024,0.5566087500197162,0
2025,-1.5678403344759628,9
