horizon_days,split,target_period,n_rows,issue_start,issue_end,role
1,Training,1950-2002,19350,1950-01-08,2002-12-30,feature ranking and fitting
1,Validation,2003-2014,4383,2002-12-31,2014-12-30,top-k and decision-layer selection
1,Test,2015-2025,4018,2014-12-31,2025-12-30,held-out final evaluation
7,Training,1950-2002,19344,1950-01-08,2002-12-24,feature ranking and fitting
7,Validation,2003-2014,4383,2002-12-25,2014-12-24,top-k and decision-layer selection
7,Test,2015-2025,4018,2014-12-25,2025-12-24,held-out final evaluation
15,Training,1950-2002,19336,1950-01-08,2002-12-16,feature ranking and fitting
15,Validation,2003-2014,4383,2002-12-17,2014-12-16,top-k and decision-layer selection
15,Test,2015-2025,4018,2014-12-17,2025-12-16,held-out final evaluation
30,Training,1950-2002,19321,1950-01-08,2002-12-01,feature ranking and fitting
30,Validation,2003-2014,4383,2002-12-02,2014-12-01,top-k and decision-layer selection
30,Test,2015-2025,4018,2014-12-02,2025-12-01,held-out final evaluation
